id,type,channel,content,sender,timestamp,is_scam,scam_type,urgency_score,threat_score
scam_1,text,sms,"This is Income Tax Department calling. We have received a complaint against you for tax evasion. You need to pay ₹50,000 immediately to avoid digital arrest. Do not disconnect this call.",noreply@secure-bank-verification.com,2025-09-12 09:08:20.459968,True,digital_arrest,0.8632207536504163,0.7667161196271834
scam_2,text,email,"Your bank account has been compromised. To secure your account, please share your OTP 456789 and verify your identity immediately.",noreply@gov-india-security.net,2025-09-13 07:08:20.459988,True,banking_fraud,0.846802039395071,0.8238068171795087
scam_3,text,email,"This is Amit Singh from GST Department. Your PAN card has been suspended due to suspicious activities. Pay ₹50,000 to reactivate it within 24 hours.",noreply@secure-bank-verification.com,2025-09-12 17:08:20.459997,True,government_official,0.8603458766159395,0.7246712100898269
scam_4,text,sms,"This is Sunita Patel from PAN Card Office. Your PAN card has been suspended due to suspicious activities. Pay ₹50,000 to reactivate it within 24 hours.",noreply@secure-bank-verification.com,2025-09-13 06:08:20.460003,True,government_official,0.7483716472072566,0.9030353118203067
scam_5,text,sms,"This is Cyber Crime Unit calling. We have received a complaint against you for tax evasion. You need to pay ₹2,50,000 immediately to avoid digital arrest. Do not disconnect this call.",noreply@secure-bank-verification.com,2025-09-13 01:08:20.460008,True,digital_arrest,0.8587816752891271,0.8480268901698914
scam_6,text,sms,"This is Banking Security calling. We have received a complaint against you for identity theft. You need to pay ₹5,00,000 immediately to avoid digital arrest. Do not disconnect this call.",+91-6543210987,2025-09-12 15:08:20.460013,True,digital_arrest,0.9899559755371901,0.8409434765272308
scam_7,text,sms,"This is Sunita Patel from PAN Card Office. Your PAN card has been suspended due to suspicious activities. Pay ₹50,000 to reactivate it within 24 hours.",+91-3210987654,2025-09-12 12:08:20.460017,True,government_official,0.7743491256737154,0.6084782559516244
scam_8,text,whatsapp,"Your bank account has been compromised. To secure your account, please share your OTP 987654 and verify your identity immediately.",+91-2109876543,2025-09-12 11:08:20.460021,True,banking_fraud,0.9372552618943435,0.8320581509130286
scam_9,text,email,"Your bank account has been compromised. To secure your account, please share your OTP 123456 and verify your identity immediately.",noreply@tax-department-urgent.org,2025-09-12 12:08:20.460025,True,banking_fraud,0.7310028496705299,0.79649239071229
scam_10,text,email,"This is Cyber Crime Unit calling. We have received a complaint against you for tax evasion. You need to pay ₹5,00,000 immediately to avoid digital arrest. Do not disconnect this call.",+91-4321098765,2025-09-13 04:08:20.460029,True,digital_arrest,0.9621928221754027,0.8137372454814815
scam_11,text,email,"This is Police Department calling. We have received a complaint against you for tax evasion. You need to pay ₹5,00,000 immediately to avoid digital arrest. Do not disconnect this call.",noreply@police-department-cyber.in,2025-09-13 00:08:20.460032,True,digital_arrest,0.8268584107069029,0.6782436858184847
scam_12,text,email,"Your bank account has been compromised. To secure your account, please share your OTP 789012 and verify your identity immediately.",noreply@police-department-cyber.in,2025-09-13 07:08:20.460035,True,banking_fraud,0.7323016265586465,0.6069665385742332
scam_13,text,email,"Your bank account has been compromised. To secure your account, please share your OTP 987654 and verify your identity immediately.",+91-6543210987,2025-09-12 23:08:20.460038,True,banking_fraud,0.8710094199506645,0.8312689447857259
scam_14,text,sms,"This is Sunita Patel from PAN Card Office. Your PAN card has been suspended due to suspicious activities. Pay ₹25,000 to reactivate it within 24 hours.",+91-6543210987,2025-09-12 22:08:20.460042,True,government_official,0.7389529423628084,0.9467553111044434
scam_15,text,whatsapp,"Your bank account has been compromised. To secure your account, please share your OTP 789012 and verify your identity immediately.",+91-6543210987,2025-09-12 16:08:20.460045,True,banking_fraud,0.8045562287911303,0.6537128778337249
scam_16,text,whatsapp,"This is Rajesh Kumar from PAN Card Office. Your PAN card has been suspended due to suspicious activities. Pay ₹50,000 to reactivate it within 24 hours.",noreply@police-department-cyber.in,2025-09-12 13:08:20.460049,True,government_official,0.9411125187183674,0.8912034468091347
scam_17,text,whatsapp,"This is Amit Singh from PAN Card Office. Your PAN card has been suspended due to suspicious activities. Pay ₹25,000 to reactivate it within 24 hours.",+91-9876543210,2025-09-12 09:08:20.460053,True,government_official,0.763927015582531,0.9966792342904086
scam_18,text,sms,"This is Banking Security calling. We have received a complaint against you for fraudulent transactions. You need to pay ₹50,000 immediately to avoid digital arrest. Do not disconnect this call.",+91-7654321098,2025-09-12 19:08:20.460057,True,digital_arrest,0.9580736064400177,0.9798263584225535
scam_19,text,whatsapp,"This is Banking Security calling. We have received a complaint against you for tax evasion. You need to pay ₹2,50,000 immediately to avoid digital arrest. Do not disconnect this call.",+91-7654321098,2025-09-13 06:08:20.460060,True,digital_arrest,0.8423524323045128,0.8881639284584801
scam_20,text,whatsapp,"This is Income Tax Department calling. We have received a complaint against you for identity theft. You need to pay ₹2,50,000 immediately to avoid digital arrest. Do not disconnect this call.",+91-9876543210,2025-09-12 11:08:20.460064,True,digital_arrest,0.8454201314371317,0.8227986076025577
scam_21,text,whatsapp,"This is Banking Security calling. We have received a complaint against you for tax evasion. You need to pay ₹2,50,000 immediately to avoid digital arrest. Do not disconnect this call.",+91-8765432109,2025-09-12 15:08:20.460067,True,digital_arrest,0.9388554486480032,0.6247923387022196
scam_22,text,whatsapp,"This is Banking Security calling. We have received a complaint against you for identity theft. You need to pay ₹5,00,000 immediately to avoid digital arrest. Do not disconnect this call.",noreply@secure-bank-verification.com,2025-09-12 17:08:20.460073,True,digital_arrest,0.70134545032845,0.8075242848986358
scam_23,text,email,"This is Income Tax Department calling. We have received a complaint against you for identity theft. You need to pay ₹2,50,000 immediately to avoid digital arrest. Do not disconnect this call.",+91-4321098765,2025-09-12 20:08:20.460076,True,digital_arrest,0.8719149457929167,0.7738172552927942
scam_24,text,whatsapp,"Your bank account has been compromised. To secure your account, please share your OTP 456789 and verify your identity immediately.",noreply@tax-department-urgent.org,2025-09-13 04:08:20.460079,True,banking_fraud,0.8345426541008911,0.6865794047657696
scam_25,text,whatsapp,"This is Priya Sharma from PAN Card Office. Your PAN card has been suspended due to suspicious activities. Pay ₹50,000 to reactivate it within 24 hours.",+91-6543210987,2025-09-12 23:08:20.460083,True,government_official,0.9072808871134738,0.7681164888807177
